ERYTHROMYCIN CAPSULES 250MG K,medicine_showdetail.php?sn=A000106100
DEXTROMETHORPHAN TA,medicine_showdetail.php?sn=A017343100
PILINTON CAPSULES 'W.F.',medicine_showdetail.php?sn=A017367100
NORDRON S.C. TABLETS NORETHINDRONE,medicine_showdetail.php?sn=A017382100
KNOWFUL CAPSULES P,medicine_showdetail.php?sn=A017508100
DRIED ALUMINUM HYDR,medicine_showdetail.php?sn=A017534100
COLDEX CAPSULES 'KINGDOM',medicine_showdetail.php?sn=A017543100
SOTHICON TABLETS N,medicine_showdetail.php?sn=A017715100
SUWALIN TABLETS P.,medicine_showdetail.php?sn=A017735100
NOSCOUGH TABLETS C,medicine_showdetail.php?sn=A017809100
AMPICILLIN CAPSULES,medicine_showdetail.php?sn=A017859100
SOLAXIN TABLET 'C.R.',medicine_showdetail.php?sn=A018014100
HALOSTEN TABLETS 1MG HALOPERIDOL,medicine_showdetail.php?sn=A018051100
ANCOTON TABLETS ACETAMINOPHEN'H.C.',medicine_showdetail.php?sn=A018069100
ALUCON TABLETS P.J,medicine_showdetail.php?sn=A018107100
ACETAMINOPHEN TABLETS 'Y.S.',medicine_showdetail.php?sn=A018136100
WEICOLA TABLETS CH,medicine_showdetail.php?sn=A018171100
SUFUCON CAPSULES 'S.T.',medicine_showdetail.php?sn=A018176100
PHENYTOIN TABLETS 'VPP',medicine_showdetail.php?sn=A018240100
CARDIOLOL TABLETS 40MG PROPRANOLOL,medicine_showdetail.php?sn=A018250100
CARDIOLOL TABLETS 10MG PROPRANOLOL,medicine_showdetail.php?sn=A018251100
SEPRONIN CAPSULES KETOPROFEN 'SHITEH',medicine_showdetail.php?sn=A018282100
NOVAZIL TABLETS S.,medicine_showdetail.php?sn=A018332100
KENACORT TABLETS TRIAMCINOLONE'Y.Y.',medicine_showdetail.php?sn=A018336100
LOBAK TABLETS 'CHINTENG',medicine_showdetail.php?sn=A018342100
TATONLIN CAPSULES 'Y.S.' MEFENAMIC ACID,medicine_showdetail.php?sn=A018373100
ACETAMINOPHEN TABLETS 'WINSTON',medicine_showdetail.php?sn=A018432100
ACTIVE-B6 CAPSULES PYRIDOXAL PHOSPHATE'CHINTENG',medicine_showdetail.php?sn=A018433100
HALOSTEN TABLETS 2MG HALOPERIDOL,medicine_showdetail.php?sn=A018467100
PISANTONG TABLETS,medicine_showdetail.php?sn=A018498100
PUNORTOR TABLETS ACETAMINOPHEN 'PANBIOTIC',medicine_showdetail.php?sn=A018555100
LONZUMIN TABLETS B,medicine_showdetail.php?sn=A018559100
SOURIREE ANALGESIC TABLETS 500MG ACETAMINOPHEN,medicine_showdetail.php?sn=A018609100
COFFEGOT TABLETS 'Y.Y.',medicine_showdetail.php?sn=A018654100
IMIMINE S.C. TABLETS 25MG IMIPRAMINE 'VPP',medicine_showdetail.php?sn=A018719100
SUFFIN TABLETS PSE,medicine_showdetail.php?sn=A018738100
COLDENIN CAPSULES,medicine_showdetail.php?sn=A018750100
MEFENAMIN CAPSULES MEFENAMIC ACID 'C.I.',medicine_showdetail.php?sn=A018789100
BUCLIZINE TABLETS,medicine_showdetail.php?sn=A018873100
KOSIWAY TABLETS Y.,medicine_showdetail.php?sn=A018892100
NYSTATIN CAPSULES,medicine_showdetail.php?sn=A018895100
SALUTOL TABLETS SALBUTAMOL 'KINGDOM',medicine_showdetail.php?sn=A018896100
THIRIZINE S.C. TABLETS THIORIDAZINE 'VPP',medicine_showdetail.php?sn=A018905100
TOPICAINE TABLETS,medicine_showdetail.php?sn=A018916100
DACTIRAN F.C. TABLETS PIPERIDOLATE 'KYORIN',medicine_showdetail.php?sn=A018920100
ANTALGIC TABLETS 'H.H.',medicine_showdetail.php?sn=A018929100
BISACODYL E.C. TABL,medicine_showdetail.php?sn=A018949100
AMITRIPTYLINE TABLETS 'JINUP',medicine_showdetail.php?sn=A019040100
LOFAXIN CAPSULES 25,medicine_showdetail.php?sn=A019097100
BICOROMIN TABLETS,medicine_showdetail.php?sn=A019102100
PAWINT TABLETS PAT,medicine_showdetail.php?sn=A019115100
ACETA TABLETS ACETAMINOPHEN 'J.H.',medicine_showdetail.php?sn=A019159100
ERGOCAFE TABLETS 'C.H.',medicine_showdetail.php?sn=A019210100
BONAS E.S. TABLETS,medicine_showdetail.php?sn=A019246100
LIMODIUM TABLETS L,medicine_showdetail.php?sn=A019337100
ACETAMINOPHEN TABLETS 'C.T.',medicine_showdetail.php?sn=A019343100
STAZYME F.C. TABLET,medicine_showdetail.php?sn=A019353100
PAINLESS TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A019359100
ASMELLIN-EPG TABLET,medicine_showdetail.php?sn=A019360100
UNCOLA CAPSULES S.,medicine_showdetail.php?sn=A019410100
PONSTAL CAPSULES MEFENAMIC ACID 'SINPHAR',medicine_showdetail.php?sn=A019419100
PONSTAL F.C. TABLETS 500MG MEFENAMIC ACID 'SINPHAR',medicine_showdetail.php?sn=A019420100
PONSTAL TABLETS 250MG MEFENAMIC ACID 'SINPHAR',medicine_showdetail.php?sn=A019421100
STOLINE TABLETS LI,medicine_showdetail.php?sn=A019462100
LORAZEPAM TABLETS 1MG 'LITA',medicine_showdetail.php?sn=A019495100
SINPHADOL S.C. TABL,medicine_showdetail.php?sn=A019503100
HALOLIUM TABLETS HALOPERIDOL 'ROYAL',medicine_showdetail.php?sn=A019553100
CYPRO TABLETS CYPROHEPTADINE 'ROYAL',medicine_showdetail.php?sn=A019556100
PURINOL TABLETS ALLOPURINOL 'ROYAL',medicine_showdetail.php?sn=A019557100
LIMIN TABLETS NITRAZEPAM 'YU SHENG',medicine_showdetail.php?sn=A019579100
INDALGIN CAPSULES 25MG INDOMETHACIN 'VPP',medicine_showdetail.php?sn=A019595100
IBUPROFEN TABLETS 400MG 'HONTEN',medicine_showdetail.php?sn=A019596100
ULMERLINE TABLET S,medicine_showdetail.php?sn=A019617100
NAPROXEN TABLETS 'SINPHAR',medicine_showdetail.php?sn=A019620100
IPROFEN F.C. TABLETS IBUPROFEN 'ROYAL',medicine_showdetail.php?sn=A019624100
PROPRA TABLETS PROPRANOLOL ROYAL,medicine_showdetail.php?sn=A019639100
ALKANTIN TABLETS R,medicine_showdetail.php?sn=A019640100
JACIDE TABLETS ROY,medicine_showdetail.php?sn=A019649100
BROMCO TABLETS BRO,medicine_showdetail.php?sn=A019650100
LORAZEPAM TABLETS 0.5MG 'LITA',medicine_showdetail.php?sn=A019665100
GELUSIL-1 TABLETS,medicine_showdetail.php?sn=A019683100
COUGHCIN TABLETS W,medicine_showdetail.php?sn=A019705100
PRIMRAN F.C. TABLET,medicine_showdetail.php?sn=A019749100
ANTONIN CAPSULES,medicine_showdetail.php?sn=A019819100
ACEDOL TABLETS 'ROYAL',medicine_showdetail.php?sn=A019864100
MEMODIN TABLETS DI,medicine_showdetail.php?sn=A019865100
CARDOLOL TABLETS 40MG PROPRANOLOL V.P.P.,medicine_showdetail.php?sn=A019875100
BIOCAINE TABLETS S,medicine_showdetail.php?sn=A019893100
CARDITONIN S.C. TABLETS 25MG DIPYRIDAMOLE VPP,medicine_showdetail.php?sn=A019895100
THIAMPHENICOL CAP.,medicine_showdetail.php?sn=A019970100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A019982100
KETOFEN CAPSULE. KETOPROFEN,medicine_showdetail.php?sn=A019983100
BROAIN S.C. TABLETS,medicine_showdetail.php?sn=A019987100
SONGORA F.C TABLETS NICAMETATE ROYAL,medicine_showdetail.php?sn=A020037100
FENOTEROL TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A020084100
SOOTHING TABLETS,medicine_showdetail.php?sn=A020092100
SULQUINYL CAPSULES SULPIRIDE 'PATRON',medicine_showdetail.php?sn=A020096100
ROYADRIN TABLETS R,medicine_showdetail.php?sn=A020109100
TRISDOWN F.C TABLETS ROYAL,medicine_showdetail.php?sn=A020111100
TRICOGYL F.C TABLET,medicine_showdetail.php?sn=A020112100
TRIDERGEN TABLETS DIHYDROERGOTOXINE MESYLATE' ROYAL ',medicine_showdetail.php?sn=A020115100
IBUPROFEN F.C. TABLETS 400MG 'SINPHAR',medicine_showdetail.php?sn=A020137100
MEFENAMIC ACID CAPSULE 'A.S.',medicine_showdetail.php?sn=A020257100
SOLAX CAPSULAS 'ROYAL',medicine_showdetail.php?sn=A020285100
CARBELONE TABLETS,medicine_showdetail.php?sn=A020288100
OXETHAINE TABLETS,medicine_showdetail.php?sn=A020291100
VOREN ENTERIC COATED TABLETS DICLOFENAC 'YUNG SHIN',medicine_showdetail.php?sn=A020333100
NAPROXEN TABLETS 'YUNG CHI',medicine_showdetail.php?sn=A020387100
AMCLOCIN CAPSULE K,medicine_showdetail.php?sn=A020405100
BININ-U TABLETS 2MG HALOPERIDOL,medicine_showdetail.php?sn=A020420100
MEFENAMIC CAPSULES 'UNION',medicine_showdetail.php?sn=A020433100
PARAMOL TABLETS ACETAMINOPHEN,medicine_showdetail.php?sn=A020444100
MAGNESIUM HYDROXIDE,medicine_showdetail.php?sn=A020455100
OXETHZINE TABLET H,medicine_showdetail.php?sn=A020489100
YU-MIN TABLETS 'YU SHENG',medicine_showdetail.php?sn=A020520100
ACETOMIN TABLETS 500MG,medicine_showdetail.php?sn=A020557100
GELCON TABLETS,medicine_showdetail.php?sn=A020570100
GLIBENCLAMIDE TABLETS 'WINSTON',medicine_showdetail.php?sn=A020664100
KETOPROFEN CAPSULES 'WINSTON',medicine_showdetail.php?sn=A020700100
DEPYRETIN TABLETS ACETAMINOPHEN 'VPP',medicine_showdetail.php?sn=A020707100
DIABEN TABLETS GLIBENCLAMIDE 'ROYAL',medicine_showdetail.php?sn=A020713100
PYRAZODINE S.C. TAB,medicine_showdetail.php?sn=A020791100
WILCONIN TABLETS C,medicine_showdetail.php?sn=A020847100
CENSOLIN TABLETS SALBUTAMOL 'S.C.',medicine_showdetail.php?sn=A020854100
SINSOLAX TABLETS 'S.Y.',medicine_showdetail.php?sn=A020860100
PROPRA TABLETS 10MG PROPRANOLOL ROYAL,medicine_showdetail.php?sn=A020871100
URINOL TABLETS ALLOPURINOL 'SINPHAR',medicine_showdetail.php?sn=A020894100
SIRIN S.C. TABLETS,medicine_showdetail.php?sn=A020900100
DOLCOL FILM COATING,medicine_showdetail.php?sn=A020910100
SONCO TABLETS ROYA,medicine_showdetail.php?sn=A020911100
SUPROGEL TABLETS F,medicine_showdetail.php?sn=A021044100
LOPEDIN CAPSULES L,medicine_showdetail.php?sn=A021063100
DICLOCIN CAPSULES,medicine_showdetail.php?sn=A021213100
SUCOTIN TABLETS SALBUTAMOL 'WINSTON',medicine_showdetail.php?sn=A021253100
LIVERGEN CAPSULES,medicine_showdetail.php?sn=A021265100
ISIDIUM CAPSULES L,medicine_showdetail.php?sn=A021326100
SILYGEN CAPSULES 'STANDARD',medicine_showdetail.php?sn=A021328100
KEFLOR PULVULES 250,medicine_showdetail.php?sn=A021434100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A021441100
ZECOL TABLETS,medicine_showdetail.php?sn=A021462100
ATIPAM TABLETS LORAZEPAM 'ROYAL',medicine_showdetail.php?sn=A021495100
OXECAIN TABLETS YU,medicine_showdetail.php?sn=A021507100
WINMOX CAPSULES 500,medicine_showdetail.php?sn=A021563100
DIMENHYDRINATE TABL,medicine_showdetail.php?sn=A021586100
AMPICILLIN CAPSULES,medicine_showdetail.php?sn=A021591100
GRAMAZINE TABLETS 5,medicine_showdetail.php?sn=A021681100
HUMELIN CAPSULES 'PATRON',medicine_showdetail.php?sn=A021698100
COLCIN TABLETS COLCHICINE,medicine_showdetail.php?sn=A021754100
BIOGEN TABLETS ROY,medicine_showdetail.php?sn=A021755100
MEDICON-A CAPSULES,medicine_showdetail.php?sn=A021758100
SUPRAGEL TABLETS S,medicine_showdetail.php?sn=A021791100
BROMELAIN ENTERIC S,medicine_showdetail.php?sn=A021815100
SUMINCON TABLETS PIPRINHYDRINATE 'H.H.',medicine_showdetail.php?sn=A021841100
UNDECA S.C. TABLETS 'VPP',medicine_showdetail.php?sn=A021856100
ASTAR TABLETS ASPIRIN 'S.Y.',medicine_showdetail.php?sn=A021870100
IMODE CAPSULES LOP,medicine_showdetail.php?sn=A021875100
NINGILON CAPSULES,medicine_showdetail.php?sn=A021882100
METATU HON TABLETS DICLOFENAC 'CURIE',medicine_showdetail.php?sn=A021890100
SODIUM BICARBONATE,medicine_showdetail.php?sn=A021923100
CLEMASTINE TABLETS 'YU SHENG',medicine_showdetail.php?sn=A021932100
OPIUM AND GLYCYRRHI,medicine_showdetail.php?sn=A021996100
PAMOXICILLIN CAPSUL,medicine_showdetail.php?sn=A022002100
ALUMINGEL TABLETS,medicine_showdetail.php?sn=A022020100
WINII TABLETS DIAZEPAM 'WINSTON',medicine_showdetail.php?sn=A022036100
ALETON TABLETS 'YUNG CHI',medicine_showdetail.php?sn=A022043100
SILYMARIN CAPSULES,medicine_showdetail.php?sn=A022069100
TECOLIN TABLETS RO,medicine_showdetail.php?sn=A022084100
ULEX CAPSULES 500MG,medicine_showdetail.php?sn=A022105100
PANACON TABLETS 'S.Y.',medicine_showdetail.php?sn=A022117100
LACTAM TABLETS ACETAMINOPHEN 'SINPHAR',medicine_showdetail.php?sn=A022122100
IMOLEX CAPSULES LO,medicine_showdetail.php?sn=A022123100
TONLAXAN ETERIC-COA,medicine_showdetail.php?sn=A022124100
CHICOUGH TABLETS D,medicine_showdetail.php?sn=A022150100
COULITIN TABLETS 'ASTAR',medicine_showdetail.php?sn=A022199100
CIWEITIN TABLETS C,medicine_showdetail.php?sn=A022210100
STAPAM TABLETS LORAZEPAM 'STANDARD',medicine_showdetail.php?sn=A022211100
STAPAM TABLETS LORAZEPAM 'STANDARD',medicine_showdetail.php?sn=A022211100
IBUPROFEN TABLETS 'S.Y.',medicine_showdetail.php?sn=A022223100
NICE FILM COATED TA,medicine_showdetail.php?sn=A022225100
BICODIN TABLETS ST,medicine_showdetail.php?sn=A022227100
OXACAIN TABLETS OX,medicine_showdetail.php?sn=A022265100
UFUNIN TABLETS LOP,medicine_showdetail.php?sn=A022274100
FENOPRON PULVULES 200MG,medicine_showdetail.php?sn=A022278100
CIMETIN TABLETS CI,medicine_showdetail.php?sn=A022296100
RADI-K TABLETS POTASSIUM GLUCONATE 'BOWLIN',medicine_showdetail.php?sn=A022314100
SINUTAB TABLETS,medicine_showdetail.php?sn=A022318100
TAMEDIN F.C. TABLET,medicine_showdetail.php?sn=A022345100
WINPRON TABLETS 250MG NAPROXEN 'WINSTON',medicine_showdetail.php?sn=A022441100
LOVEGEN F.C. TABLETS CONJUGATED ESTROGEN 'ROYAL',medicine_showdetail.php?sn=A022507100
BROMPHENIRAMINE TABLETS 'TAI YU',medicine_showdetail.php?sn=A022529100
COLICINE TABLETS COLCHICINE 'H.C.',medicine_showdetail.php?sn=A022534100
VITAMIN B COMPLEX TABLETS 'TAI YU',medicine_showdetail.php?sn=A022539100
REASON TABLETS LYS,medicine_showdetail.php?sn=A022557100
ROYAMET F.C. TABLET,medicine_showdetail.php?sn=A022559100
POUGENIN CAPSULES,medicine_showdetail.php?sn=A022595100
NEO-COL TABLETS 'STANDARD',medicine_showdetail.php?sn=A022601100
WINTIN TABLETS LORAZEPAM 'WINSTON',medicine_showdetail.php?sn=A022630100
DIABITIN TABLETS 5MG GLIBENCLAMIDE 'VPP',medicine_showdetail.php?sn=A022634100
ROSIS TABLETS 40MG FUROSEMIDE VPP,medicine_showdetail.php?sn=A022641100
BUCOFENE TABLETS H,medicine_showdetail.php?sn=A022722100
STOGAMET TABLETS C,medicine_showdetail.php?sn=A022743100
WERIN TABLETS YUNG,medicine_showdetail.php?sn=A022810100
LORAZEPAM TABLETS 0.5 MG 'F.Y.',medicine_showdetail.php?sn=A022815100
LORAZIN TABLETS LORAZEPAM 'JOHNSON',medicine_showdetail.php?sn=A022816100
LORAZIN TABLETS LORAZEPAM 'JOHNSON',medicine_showdetail.php?sn=A022816100
LORAZEPAM TABLETS 1 MG 'F.Y.',medicine_showdetail.php?sn=A022819100
DEFENSE FILM COATED,medicine_showdetail.php?sn=A022836100
DIPHENIDOL S.C. TAB,medicine_showdetail.php?sn=A022852100
MILISHER TABLETS L,medicine_showdetail.php?sn=A022890100
TRANZANSHOW CAPSULES TRANEXAMIC ACID'CURIE',medicine_showdetail.php?sn=A022905100
SPIRONOLACTONE TABLETS S.C.,medicine_showdetail.php?sn=A022908100
NARCARICIN CAPSULES 100MG BENZBROMARONE,medicine_showdetail.php?sn=A022964100
WEISUPINE TABLETS,medicine_showdetail.php?sn=A022977100
PRIMPERAN FILM COAT,medicine_showdetail.php?sn=A022987100
CIMETIDINE TABLETS,medicine_showdetail.php?sn=A022995100
TAWEIMIN TABLETS 20,medicine_showdetail.php?sn=A023020100
CARDOLOL TABLETS 10MG PROPRANOLOL VPP,medicine_showdetail.php?sn=A023037100
CEPHEN TABLETS DIP,medicine_showdetail.php?sn=A023054100
PONTON TABLETS 500MG MEFENAMIC ACID 'EVEREST',medicine_showdetail.php?sn=A023102100
PONTON TABLETS 500MG MEFENAMIC ACID 'EVEREST',medicine_showdetail.php?sn=A023102100
S-CON TABLETS 40MG,medicine_showdetail.php?sn=A023121100
TAGASON TABLETS CI,medicine_showdetail.php?sn=A023135100
PSEUBYIRIN TABLETS PSEUDOEPHEDRINE HCL EVEREST,medicine_showdetail.php?sn=A023143100
ERGONOVINE MALEATE S.C. TABLETS 'C.T.',medicine_showdetail.php?sn=A023151100
RICOL TABLETS YUNG,medicine_showdetail.php?sn=A023187100
POTON CAPSULES 500MG MEFENAMIC ACID 'CURIE',medicine_showdetail.php?sn=A023219100
AMOXICILLIN CAPSULES 500MG S.T.,medicine_showdetail.php?sn=A023239100
LISAMIN CAPSULES TRANEXAMIC ACID 'N.K.',medicine_showdetail.php?sn=A023253100
AMOXICILLIN CAPSULES 250MG S.T.,medicine_showdetail.php?sn=A023264100
NEWZYME TABLETS ST,medicine_showdetail.php?sn=A023284100
AMPICILLIN CAPSULES,medicine_showdetail.php?sn=A023287100
HI-BESTON 50MG S.C. TABLETS,medicine_showdetail.php?sn=A023308100
DIFENDIN TABLETS D,medicine_showdetail.php?sn=A023318100
CLEMASTINE TABLETS 'CHINTENG',medicine_showdetail.php?sn=A023319100
PYLINATON TABLETS 500MG ACETAMINOPHEN 'H.H.P.',medicine_showdetail.php?sn=A023331100
LORAT TABLETS LORAZEPAM 'M.T.',medicine_showdetail.php?sn=A023342100
PARANADRINE TABLETS 'S.C.',medicine_showdetail.php?sn=A023353100
SU'S CAPSULES SULPIRIDE 'CURIE',medicine_showdetail.php?sn=A023356100
STROMAFON TABLETS,medicine_showdetail.php?sn=A023391100
EACO TABLETS 30MG,medicine_showdetail.php?sn=A023397100
TRIFLUOPERAZINE HCL TABLETS 'S.C.',medicine_showdetail.php?sn=A023466100
KU-WE-RIN TABLETS,medicine_showdetail.php?sn=A023483100
SODICON TABLETS SI,medicine_showdetail.php?sn=A023490100
SODICON-G TABLETS,medicine_showdetail.php?sn=A023491100
MAGNESIUM OXIDE TAB,medicine_showdetail.php?sn=A023521100
LYSOZYME TABLETS 50,medicine_showdetail.php?sn=A023565100
PEPTIDIN TABLETS R,medicine_showdetail.php?sn=A023606100
HECODEN TABLETS,medicine_showdetail.php?sn=A023645100
DOXYCYCLINE CAPSULE,medicine_showdetail.php?sn=A023648100
BECOLON CAPSULES,medicine_showdetail.php?sn=A023652100
DECOUGH CAPSULES C,medicine_showdetail.php?sn=A023654100
REPACIN F.C TABLETS,medicine_showdetail.php?sn=A023683100
CARMIN TABLETS 'Y.Y.',medicine_showdetail.php?sn=A023715100
PARAMMINE TABLETS,medicine_showdetail.php?sn=A023743100
LYZOTOSE TABLETS L,medicine_showdetail.php?sn=A023763100
MEFENAMA CAPSULES MEFENAMIC ACID,medicine_showdetail.php?sn=A023769100
PROCOTON TABLETS MEFENAMIC ACID 'H.C.',medicine_showdetail.php?sn=A023771100
FOLDCAM CAPSULES PIROXICAM 'CHINTHENG',medicine_showdetail.php?sn=A023773100
COLISTIN SULFATE CA,medicine_showdetail.php?sn=A023775100
ASCOPINE TABLETS Y,medicine_showdetail.php?sn=A023785100
LIVERALL S.C. TABLETS,medicine_showdetail.php?sn=A023793100
CITIDINE TABLETS C,medicine_showdetail.php?sn=A023820100
DEPHEDOL F.C. TABLE,medicine_showdetail.php?sn=A023822100
SPLOTIN TABLETS SULPIRIDE,medicine_showdetail.php?sn=A023825100
SWEI TABLETS YU SH,medicine_showdetail.php?sn=A023833100
LORAZEPAM TABLETS,medicine_showdetail.php?sn=A023857100
ROTEC TABLETS F.Y.,medicine_showdetail.php?sn=A023879100
KONSUL TABLETS PRIDINOL 'LITA',medicine_showdetail.php?sn=A023889100
GELMALIN TABLETS,medicine_showdetail.php?sn=A023908100
FLUZINE TABLETS 5MG,medicine_showdetail.php?sn=A023918100
BROPIN F.C. TABLETS,medicine_showdetail.php?sn=A023920100
COUGDAU TABLETS NC,medicine_showdetail.php?sn=A023925100
BISMUTH SUBCARBONAT,medicine_showdetail.php?sn=A023936100
ATON TABLETS ACETAMINOPHEN 'NCP',medicine_showdetail.php?sn=A023954100
ASU CAPSULES 'NCP',medicine_showdetail.php?sn=A023973100
ZIMIN S.C. TABLETS CHLORCYCLIZINE 'NCP',medicine_showdetail.php?sn=A023981100
PIROXICAM CAPSULES 'S.C.',medicine_showdetail.php?sn=A023996100
BUGIFENE TABLETS B,medicine_showdetail.php?sn=A024004100
IBUPROFEN F.C. TABLETS,medicine_showdetail.php?sn=A024010100
NIFEPIN CAPSULES NIFEDIPINE ROYAL,medicine_showdetail.php?sn=A024018100
ANJAL TABLETS YU SHENG,medicine_showdetail.php?sn=A024023100
BLOODFULL S.C. TABLETS 'C.H.',medicine_showdetail.php?sn=A024053100
FENOTEROL HBR TABLETS 'S.C.',medicine_showdetail.php?sn=A024063100
PRANOL F.C. TABLETS PROPRANOLOL,medicine_showdetail.php?sn=A024076100
PRIDINOL TABLETS 'P.L.',medicine_showdetail.php?sn=A024078100
BOWCON TABLETS,medicine_showdetail.php?sn=A024079100
SOLANTAL FILM COATED TABLETS 100MG TIARAMIDE,medicine_showdetail.php?sn=A024091100
BISPLEN TABLETS EP,medicine_showdetail.php?sn=A024098100
DICLOFENAC ENTERIC COATED TABLETS 'Y.C.',medicine_showdetail.php?sn=A024115100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A024132100
BRENCO TABLETS FENOTEROL,medicine_showdetail.php?sn=A024142100
CHLOPHEDIANOL HCL T,medicine_showdetail.php?sn=A024155100
TRENTAL DRAGEE 100MG PENTOXIFYLLINE,medicine_showdetail.php?sn=A024187100
DICLOFENAC S.C. TABLETS 'CHINTENG',medicine_showdetail.php?sn=A024197100
NAROXIN TABLETS NAPROXEN,medicine_showdetail.php?sn=A024199100
NEWTASE TABLETS CH,medicine_showdetail.php?sn=A024239100
DIYUN TABLETS DIPH,medicine_showdetail.php?sn=A024266100
BUSKOBUN S.C. TABLETS HYOSCINE BUTYLBROMIDE 'C.H.',medicine_showdetail.php?sn=A024269100
PISON CAPSULES 'C.H.',medicine_showdetail.php?sn=A024270100
TREN CAPSULES 250MG TRANEXAMIC ACID 'YUNG SHIN',medicine_showdetail.php?sn=A024282100
DARAFFIN TABLETETS 'S.C.',medicine_showdetail.php?sn=A024309100
RESERZIDE S.C. TABLETS,medicine_showdetail.php?sn=A024310100
SIMETHICONE TABLETS,medicine_showdetail.php?sn=A024317100
AMITRIPTYLINE HYDROCHLORIDE S.C. TABLLETS 'C.H.',medicine_showdetail.php?sn=A024336100
GRISEOFULVIN TABLET,medicine_showdetail.php?sn=A024375100
AENOMI TABLETS 'Y.Y.',medicine_showdetail.php?sn=A024376100
LORAZEPAM TABLETS 1MG,medicine_showdetail.php?sn=A024384100
IKODIN CAPSULES 500,medicine_showdetail.php?sn=A024440100
ANXIEDIN TABLETS 0.5MG LORAZEPAM,medicine_showdetail.php?sn=A024463100
ANXIEDIN TABLETS 0.5MG LORAZEPAM,medicine_showdetail.php?sn=A024463100
LIDIN TABLETS 300MG LITHIUM CARBONATE,medicine_showdetail.php?sn=A024474100
PROAZINE TABLETS P,medicine_showdetail.php?sn=A024488100
PIPERAN CAPSULES P,medicine_showdetail.php?sn=A024490100
PROPRANOLOL HYDROCHLORIDE TABLETS C.H.,medicine_showdetail.php?sn=A024536100
AMIPHEN TABLETS 500MG 'SPC',medicine_showdetail.php?sn=A024609100
ACETAMINOPHEN TABLETS 500MG 'ASTAR',medicine_showdetail.php?sn=A024616100
SULPI CAPSULES 50MG SULPIRIDE 'WINSTON',medicine_showdetail.php?sn=A024703100
SORIN TABLETS 200MG CHLORZOXAZONE 'YUNG SHIN',medicine_showdetail.php?sn=A024708100
PARAS TABLETS 'YUNG SHIN',medicine_showdetail.php?sn=A024726100
MILISHER TABLETS 10,medicine_showdetail.php?sn=A024742100
ZECOLIN TABLETS 250MG,medicine_showdetail.php?sn=A024754100
SUTON E.C. TABLETS 500MG MEFENAMIC ACID 'N.W.',medicine_showdetail.php?sn=A024757100
WEIZAIN TABLETS HO,medicine_showdetail.php?sn=A024810100
BROTHINE TABLETS 2.5MG TERBUTALINE SULFATE,medicine_showdetail.php?sn=A024817100
TONIFEN F.C. TABLETS 500MG MEFENAMIC ACID ' ROYAL ',medicine_showdetail.php?sn=A024837100
CEFLEXIN CAPSULES 2,medicine_showdetail.php?sn=A024856100
KIDNIN CAPSULES 250,medicine_showdetail.php?sn=A024881100
ANXIEDIN TABLETS 1MG LORAZEPAM,medicine_showdetail.php?sn=A024885100
ANXIEDIN TABLETS 1MG LORAZEPAM,medicine_showdetail.php?sn=A024885100
CEFLEXIN CAPSULES 5,medicine_showdetail.php?sn=A024888100
SUWEILIN TABLETS 20,medicine_showdetail.php?sn=A024935100
LORAPAM TABLETS 1MG LORAZEPAM,medicine_showdetail.php?sn=A024943100
MERIS SC TABLETS B,medicine_showdetail.php?sn=A024974100
CENDMYCIN CAPSULES,medicine_showdetail.php?sn=A024987100
YULANTYL TABLETS 'TAI YU',medicine_showdetail.php?sn=A025017100
ERYSTAC CAPSULES 25,medicine_showdetail.php?sn=A025020100
NYSTATIN TABLETS,medicine_showdetail.php?sn=A025025100
DEXCHLORPHENIRAMINE MALEATE TABLETS 2MG 'Y.C.',medicine_showdetail.php?sn=A025027100
KANSAMIN CAPSULES 250MG TRANEXAMIC ACID 'SINTON',medicine_showdetail.php?sn=A025057100
COMBICILLIN CAPSULE,medicine_showdetail.php?sn=A025079100
RECOUGH TABLETS 20M,medicine_showdetail.php?sn=A025081100
UCEFA CAPSULES 500M,medicine_showdetail.php?sn=A025083100
VITACOMB S.C. TABLETS 'S.Y.',medicine_showdetail.php?sn=A025089100
MAGOCAIN TABLETS,medicine_showdetail.php?sn=A025091100
WINTIDINE TABLETS 2,medicine_showdetail.php?sn=A025095100
DIAZEPAM TABLETS 2MG,medicine_showdetail.php?sn=A025096100
NEUROPAM TABLETS 2MG LORAZEPAM 'PANBIOTIC',medicine_showdetail.php?sn=A025118100
BISCO TABLETS 12MG,medicine_showdetail.php?sn=A025121100
NOFLAGMA CAPSULES 5,medicine_showdetail.php?sn=A025130100
NOFLAGMA CAPSULES 5,medicine_showdetail.php?sn=A025130100
LICHANYU TABLETS H,medicine_showdetail.php?sn=A025149100
DECA TABLETS 0.75MG DEXAMETHASONE 'S.T.',medicine_showdetail.php?sn=A025163100
DYPHACOL TABLETS,medicine_showdetail.php?sn=A025195100
EASYGO TABLETS S.T,medicine_showdetail.php?sn=A025196100
CHLORPHENIRAMINE MALEATE TABLETS 4MG 'W.P.',medicine_showdetail.php?sn=A025214100
LYSOZYME TABLETS 90,medicine_showdetail.php?sn=A025254100
